player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
I. Lagrimi,Al Jazira,"LB, RB",22.0,0,2029-06-30,15,710,0,0.0,Morocco,Morocco,,0,0,non
Naoufel El Hannach,Montpellier,"RB, LB",19.0,0,2027-06-30,21,1231,0,0.47,Morocco,"Morocco, France",droite,183,0,oui
Y. Benrahou,Manisa F.K.,"AMF, CF, RAMF",27.0,0,2027-06-30,32,2354,8,7.77,France,"France, Morocco",gauche,172,68,non
K. Achahbar,Stade Briochin,"LW, RW, CF",30.0,0,,25,1629,1,2.86,France,"France, Morocco",gauche,183,70,non
R. El Meliani,Roda JC,"LB, RB",21.0,0,2026-06-30,14,490,0,0.19,Netherlands,"Netherlands, Morocco",droite,0,0,non
A. El Azzouzi,Fortuna Düsseldorf,"RCMF, RDMF",24.0,0,2029-06-30,32,3054,2,4.21,Netherlands,"Netherlands, Morocco",droite,187,76,non
C. Taoualy,Xerez,"LCMF, AMF, RDMF",27.0,0,2026-06-30,31,2783,3,4.68,Morocco,"Morocco, Spain",droite,180,0,non
B. Simo,Marítimo,"RAMF, RW, RWF",26.0,0,,31,2560,8,10.39,Morocco,Morocco,,0,0,non
Y. Chahid,Châteauroux,"LCMF, LDMF, DMF",21.0,0,,11,873,2,1.26,France,"France, Morocco",droite,165,60,non
F. Al Mazyani,RKC Waalwijk,"RB, RWB",21.0,0,2027-06-30,9,618,0,0.93,Belgium,"Belgium, Morocco",droite,180,68,non
E. Barrahma,Al Kuwait,"RCB, DMF",34.0,0,,6,639,2,1.16,Morocco,Morocco,droite,177,70,non
Y. Attiyat Allah,Sochi,"LB, LWB",31.0,0,2027-06-30,10,858,0,0.58,Morocco,Morocco,gauche,176,70,non
Y. El Khafi,Olympique Dcheïra,"LB, LCB",32.0,0,,14,1187,0,0.28,Morocco,Morocco,,0,0,non
M. Kharjan,Yacoub El Mansour,"RCMF, RDMF",28.0,0,,6,610,0,0.78,Morocco,Morocco,unknown,0,0,non
M. Hamony,Girona B,"LAMF, LW",19.0,0,,10,661,1,0.63,Morocco,Morocco,unknown,0,0,non
R. Idrissi,Cagliari,"LB, LWB, LW",20.0,0,2030-06-30,26,1111,2,0.34,Italy,"Italy, Morocco",gauche,0,0,non
N. Ait Mouhou,VVV Venlo,"LAMF, LW",21.0,0,2027-06-30,37,2501,4,7.51,Morocco,Morocco,unknown,0,0,non
S. Ouaissa,NEC,RWB,21.0,0,2028-06-30,37,3326,7,6.48,Netherlands,"Netherlands, Morocco",gauche,0,0,non
I. Boumassaoudi,Den Bosch,"LAMF, LCMF, LWF",21.0,0,2028-06-30,32,1805,10,9.03,Netherlands,"Netherlands, Morocco",droite,0,0,non
I. Bakhty,Sturm Graz II,LCB,19.0,0,2028-06-30,11,781,0,1.64,Morocco,Morocco,unknown,0,0,non
O. Maamma,Watford,"LW, LAMF, RW",20.0,0,2029-06-30,25,1734,4,4.51,France,"France, Morocco",les deux,180,78,non
S. El Haddad,Pineto,"AMF, LWF, CF",20.0,0,2027-06-30,11,472,1,0.95,Morocco,"Morocco, Italy",droite,175,65,oui
Nadir El Jamali,Saint-Étienne,"RWF, RCMF",19.0,0,,20,1002,0,1.29,France,"France, Morocco",unknown,0,0,non
I. Bouleghcha,Le Puy F.43 Auvergne,"RWB, RB, RW",23.0,0,2026-06-30,29,2042,0,1.3,France,"France, Morocco",droite,177,68,non
Monsif,Chieti,"AMF, LAMF, LW",26.0,0,2026-06-30,18,887,4,1.74,Morocco,Morocco,droite,173,0,non
M. Hafid,Caen,"RAMF, RCMF, AMF",21.0,0,2027-06-30,30,2369,4,2.37,France,"France, Morocco",gauche,175,72,non
R. Belahyane,Lazio,"LCMF, RCMF",21.0,0,2029-06-30,14,700,0,0.45,France,"France, Morocco",droite,169,53,non
Yusi,Deportivo Alavés,LB,20.0,0,2029-06-30,28,1761,0,0.76,Spain,"Spain, Morocco",gauche,170,62,non
A. Chaikhoun,Nürnberg,"AMF, LCMF",20.0,0,2029-06-30,24,2073,2,4.24,Germany,"Germany, Morocco",droite,177,0,non
M. Boumaaoui,Bourg-en-Bresse,CF,21.0,0,2028-06-30,21,1438,3,6.92,France,"France, Morocco",droite,187,77,oui
A. Loune,RWD Molenbeek,"DMF, LCMF, RCMF",24.0,0,,29,2127,0,1.16,Germany,"Germany, Morocco",droite,180,80,non
L. Houri,Universitatea Craiova,"AMF, RCMF, LCMF",30.0,0,2026-06-30,28,1181,0,0.37,France,"France, Morocco",droite,169,58,non
I. El Kabbou,Ordino,"LW, LCMF",26.0,0,,19,1569,0,0.75,Morocco,Morocco,les deux,172,0,non
H. Larhrib,Sammaurese,"LW, AMF, LWF",22.0,0,,23,1404,1,1.51,Morocco,"Morocco, Italy",droite,174,0,non
W. Khribech,Foligno Calcio,"RWF, RW",31.0,0,2026-06-30,26,2180,7,6.58,Morocco,Morocco,gauche,170,0,non
S. Jebari,Csikszereda Miercurea Ciuc,"LW, AMF, LCMF",31.0,0,,30,1354,2,1.47,Morocco,"Morocco, Spain",,175,70,non
M. Afaker,Dordrecht,"LW, RAMF, LAMF",27.0,0,2026-06-30,24,1124,1,3.51,Netherlands,"Netherlands, Morocco",,0,0,non
A. Tajaouart,Anderlecht,"LDMF, LCMF, AMF",20.0,0,2029-06-30,19,1465,2,2.06,Belgium,"Belgium, Morocco",droite,0,0,non
R. M'Barki,Patro Eisden,"LW, LB",31.0,0,,28,1294,1,1.16,Belgium,"Belgium, Morocco",droite,173,68,non
F. Harchaoui,Köln,"LDMF, LCMF, RDMF",20.0,0,2028-06-30,29,2065,1,0.85,Germany,"Germany, Morocco",droite,175,63,non
