player,team,specific_position,age,market_value,contract_expiration,Matchs joués  ,Minutes jouées  ,goals,xg,birth_country,Passeport pays  ,foot,height,weight,loan
S. Khorsa,Maghreb Fès,LCB,32.0,225000,2027-06-30,11,872,1,0.12,Morocco,Morocco,,186,0,non
S. Sellami,Kawkab Marrakech,"LAMF, CF, LW",29.0,225000,,16,572,0,0.54,Morocco,Morocco,droite,0,0,non
A. Hmaidou,CODM Meknès,"RCMF, AMF, LCMF",26.0,225000,2027-06-30,17,1369,1,0.93,Morocco,Morocco,droite,176,70,non
A. Aberkane,Vyškov,"RB, LB",24.0,200000,,16,1091,0,0.05,Netherlands,"Netherlands, Morocco",droite,181,79,non
I. Benbouabdellah,Youssoufia Berrechid,"LCMF, DMF, LCB",27.0,200000,,12,933,0,0.23,Morocco,Morocco,droite,186,76,non
I. Najm Eddine,Youssoufia Berrechid,RCB,32.0,200000,,10,904,0,0.0,Morocco,Morocco,,186,0,non
K. Hachadi,Trofense,CF,28.0,200000,2026-06-30,20,851,0,0.68,Morocco,Morocco,gauche,190,85,non
A. Bensabouh,Quick Boys,"RDMF, RCMF, LCMF",27.0,200000,2026-06-30,12,644,1,0.52,Netherlands,"Netherlands, Morocco",droite,179,75,non
I. Chebake,Ypsonas,"RB, RWB",36.0,200000,,24,2093,1,1.05,Morocco,"Morocco, France",droite,175,71,non
J. Mouaddib,Omonia Aradippou,"LAMF, LW, RAMF",25.0,200000,2027-05-31,31,2130,3,3.62,France,"France, Morocco",les deux,181,72,non
Nabil Touaizi,Alverca,"RWB, RB",25.0,200000,2028-06-30,34,3149,1,3.04,Spain,"Spain, Morocco",droite,183,77,non
M. El Jaouhari,Étoile Carouge,"DMF, LCMF",27.0,200000,,34,2442,0,0.28,France,"France, Morocco",gauche,181,0,non
A. Sellouf,,"LAMF, RAMF, LW",24.0,200000,,16,442,0,1.51,Netherlands,"Netherlands, Morocco",gauche,177,72,non
M. Laaribi,Reggina,"LDMF, DMF, RDMF",33.0,200000,2026-06-30,25,2200,1,0.66,Morocco,"Morocco, Italy",droite,173,72,non
H. Al Ghaddioui,Fortuna Köln,CF,35.0,200000,2027-06-30,31,1991,12,11.38,Germany,"Germany, Morocco",droite,190,92,non
O. Siddiki,Antequera,"LAMF, LW, LWF",28.0,200000,2026-06-30,30,2354,5,4.76,Morocco,"Morocco, Spain",droite,179,76,non
M. Fakhr,Khemis Zemamra,GK,37.0,200000,2026-06-30,15,1487,0,0.0,Morocco,Morocco,,182,0,non
A. Douiri,Al Najma,"LAMF, CF, AMF",26.0,200000,,13,1127,2,2.33,Netherlands,"Netherlands, Morocco",droite,180,72,non
Z. Hadji,Al Najma,CF,29.0,200000,,20,1690,4,6.13,France,"France, Morocco",droite,183,68,non
D. Fettouhi,Al Ahli,"RDMF, LDMF, LCMF",36.0,200000,2027-06-30,30,2653,3,2.95,Morocco,"Morocco, France",gauche,185,74,non
Y. Didi,Ceuta,"DMF, RCMF, RDMF",27.0,200000,2026-06-30,36,2738,2,1.75,Spain,"Spain, Morocco",gauche,192,86,non
A. Benchaib,Kauno Žalgiris,"CF, AMF",27.0,200000,2026-12-31,43,3772,19,18.25,Belgium,"Belgium, Morocco",droite,181,71,non
W. Nassi,Wydad Casablanca,"LAMF, RWF, RAMF",25.0,200000,,27,1299,2,2.25,France,"France, Morocco",droite,182,64,non
Antonio Otegui,Inter Club d'Escaldes,"RCMF, AMF",28.0,200000,2026-06-30,21,1818,5,3.69,Spain,"Spain, Morocco",droite,174,63,non
Ander El Haddadi,Paganese,"CF, LWF, LW",28.0,200000,2026-06-30,33,1904,4,3.89,Spain,"Spain, Morocco",droite,179,73,non
T. Safsafi,Chabab Mohammédia,"LCMF, LDMF, RCMF",33.0,175000,,11,485,1,0.16,Morocco,Morocco,droite,178,0,non
N. Zannane,Youssoufia Berrechid,"LCMF, RCB",29.0,175000,,9,656,0,0.01,Morocco,Morocco,les deux,183,0,non
M. Fall,,RCB,37.0,175000,,13,1277,3,1.02,Senegal,"Senegal, Morocco",les deux,192,0,non
Y. Rami,,RCB,39.0,175000,,4,415,0,0.13,Morocco,Morocco,,185,0,non
S. Lagzir,Heraclea,"CF, RAMF, RWF",31.0,175000,2026-06-30,21,1339,2,2.58,Morocco,Morocco,gauche,180,0,non
A. Tine,Khemis Zemamra,RB,34.0,175000,,8,756,0,0.01,Morocco,Morocco,droite,175,68,non
H. El Bahja,Ittihad Tanger,"CF, RAMF",32.0,175000,2026-06-30,18,1502,4,4.6,Morocco,Morocco,gauche,175,0,non
K. El Bounagate,CODM Meknès,LCB,25.0,175000,2027-06-30,23,2110,1,1.34,Morocco,Morocco,gauche,185,0,non
L. Dahdouh,JS Soualem,"RAMF, LAMF, RWF",25.0,150000,,12,562,1,1.74,Morocco,Morocco,droite,178,70,non
J. Assouab,Kawkab Marrakech,RCB,31.0,150000,2027-06-30,8,794,0,0.24,Morocco,Morocco,droite,189,74,non
H. Benkaid,Stade Briochin,"CF, AMF",35.0,150000,,8,467,3,2.59,France,"France, Morocco",gauche,178,71,non
I. Takidine,Roda JC,"RAMF, LAMF, RWF",25.0,150000,2026-06-30,13,401,0,0.15,Belgium,"Belgium, Morocco",droite,171,61,non
H. Rahimi,Al Ain,CF,24.0,150000,,34,1267,8,7.63,Morocco,Morocco,droite,187,0,non
I. El Kadiri,De Graafschap,"LW, LWF, LAMF",24.0,150000,2027-06-30,28,2088,5,5.27,Netherlands,"Netherlands, Morocco",droite,170,58,non
Karim El Kounni,Unión Malacitano,"LAMF, LW",28.0,150000,2026-06-30,22,1629,3,3.3,Spain,"Spain, Morocco",droite,0,0,non
Mohamed Mizzian,UCAM Murcia,CF,26.0,150000,2026-06-30,24,1298,6,5.93,Spain,"Spain, Morocco",les deux,185,77,non
C. Benhamza,Nîmes,"LCMF, RCMF",33.0,150000,,12,1125,0,0.93,Morocco,"Morocco, France",droite,176,84,non
Y. El Arbaoui,Águilas,"LCMF, RCMF, DMF",26.0,150000,2026-06-30,22,1680,1,0.65,Spain,"Spain, Morocco",droite,176,68,non
H. Hafidi,Cannes,"RCMF, RDMF, CF",33.0,150000,2026-06-30,9,589,0,1.22,Morocco,"Morocco, France",gauche,184,78,non
Y. Daoussi,VPS,"RWB, RB, LWB",26.0,150000,2026-12-31,33,2118,3,4.73,Finland,"Finland, Morocco",droite,178,74,non
S. Benyachou,FUS Rabat,"LAMF, LW, RAMF",26.0,150000,,21,1040,5,3.62,Morocco,Morocco,droite,168,0,non
Abde Damar,Zamora,"LW, LAMF",26.0,150000,2027-06-30,36,2621,6,4.64,Morocco,Morocco,droite,172,70,non
M. Chakir,Ascoli,"CF, AMF",25.0,150000,2027-06-30,41,1719,7,6.34,Italy,"Italy, Morocco",droite,180,69,non
M. Al Harrar,Raja Casablanca,GK,25.0,150000,2027-06-30,28,2865,0,0.0,Morocco,Morocco,droite,189,85,non
J. Erraji,Inter Club d'Escaldes,RCB,28.0,150000,2026-06-30,19,1543,1,1.12,Morocco,Morocco,droite,188,80,non
M. Sanhaji,Real Jaén,"RB, RW, RAMF",27.0,150000,2026-06-30,30,2327,0,1.45,Spain,"Spain, Morocco",droite,179,67,non
Z. Hamlili,Livorno,"DMF, LCMF, RCMF",35.0,125000,2026-06-30,35,2840,2,0.53,Italy,"Italy, Morocco",droite,170,66,non
Z. Daqoune,Città di Acireale,"DMF, RCMF",25.0,125000,2026-06-30,23,1824,0,0.25,Morocco,Morocco,,185,0,non
I. Harnafi,FSV Frankfurt,"CF, RCMF",24.0,125000,2027-06-30,29,2177,13,8.86,Germany,"Germany, Morocco",droite,172,0,non
S. El-Faouzi,Schalke 04,"RCMF, RDMF",23.0,125000,2029-06-30,36,3581,2,2.68,Germany,"Germany, Morocco",les deux,0,0,non
R. Aabid,RSB Berkane,"LDMF, RDMF, LCMF",34.0,125000,,29,1612,1,0.76,France,"France, Morocco",droite,178,71,non
S. Hadji,Differdange 03,CF,36.0,125000,,9,867,5,4.81,France,"France, Morocco",droite,190,86,non
Y. Bnou Marzouk,Erzeni Shijak,CF,28.0,100000,,10,550,1,1.89,France,"France, Morocco",droite,180,75,non
A. El Hriti,UNA Strassen,"LB, LCB",36.0,100000,2027-06-30,23,1177,0,0.0,France,"France, Morocco",gauche,179,82,non
Y. Aït Moujane,Rouen,"RWB, RB",25.0,100000,2026-06-30,14,912,0,0.6,France,"France, Morocco",droite,174,67,non
O. Khailoti,Novara,LCB,24.0,100000,2027-06-30,28,2410,1,1.48,Italy,"Italy, Morocco",gauche,192,77,non
E. Kratzer,Bonner SC,"RW, CF",26.0,100000,2026-06-30,17,613,3,1.93,Germany,"Germany, Morocco",droite,178,69,non
Y. Belkhdim,Angers SCO,"RAMF, RCMF, RDMF",24.0,100000,2028-06-30,28,2351,2,2.58,France,"France, Morocco",droite,175,70,non
Mohamed Kamal,Deportiva Minera,"LCMF, DMF, LDMF",34.0,100000,2026-06-30,26,1469,0,1.17,Spain,"Spain, Morocco",droite,178,74,non
M. Ihattaren,Fortuna Sittard,"RAMF, AMF, RW",24.0,100000,2027-06-30,30,2187,6,6.59,Netherlands,"Netherlands, Morocco",gauche,183,75,non
A. Serbouti,Pineto,"RB, RCB",26.0,100000,2026-06-30,26,1401,0,1.55,Morocco,"Morocco, Italy",droite,187,79,non
B. Erradi,Potenza,LCMF,25.0,100000,2026-06-30,27,1601,4,1.36,Italy,"Italy, Morocco",droite,175,69,non
R. Khaleel,Dagenham & Redbridge,"LCMF, RDMF, DMF",23.0,100000,2026-06-30,19,476,1,0.56,England,"England, Morocco",droite,177,64,non
M. Errahaly,Unionistas de Salamanca,"LB, LAMF",26.0,100000,2027-06-30,24,1454,3,2.34,Morocco,Morocco,gauche,180,72,oui
S. El Ftouhi,Mérida AD,"CF, AMF",25.0,100000,2028-06-30,31,2332,5,11.29,France,"France, Morocco",,182,74,non
H. Mastour,Virtus Verona,"CF, AMF, LCMF",27.0,100000,2026-06-30,16,789,0,0.32,Italy,"Italy, Morocco",droite,175,63,non
A. Kharmoud,Pistoiese,"RWB, RW",25.0,100000,2026-06-30,24,1661,2,1.76,Italy,"Italy, Morocco",droite,177,0,non
C. Abbas,Cannes,"RAMF, RW, RWF",27.0,100000,2027-06-30,30,2893,9,10.02,France,"France, Morocco",gauche,174,69,non
R. Halhal,Mechelen,"CB, RCB",23.0,100000,2027-06-30,33,3143,1,1.0,France,"France, Morocco",droite,191,79,non
Bilal Kandoussi,Arenteiro,"LAMF, RAMF, RWF",26.0,100000,2026-06-30,25,1402,2,2.5,Spain,"Spain, Morocco",droite,173,60,non
Y. Michte,Difaâ El Jadida,"RCMF, RDMF, LCMF",27.0,100000,,23,1752,0,0.35,Morocco,Morocco,droite,178,74,non
F. Taarimte,Forbach,"AMF, CF, RW",30.0,75000,,15,794,1,1.24,France,"France, Morocco",,0,0,non
E. El Bassil,FUS Rabat,"CB, RCB",37.0,75000,,8,775,1,0.15,Morocco,Morocco,droite,0,0,non
H. Boutakhrit,Bayern Alzenau,"LCB, RCB, RDMF",33.0,75000,2027-06-30,22,1916,0,1.64,Morocco,"Morocco, Germany",droite,187,84,non
Y. Zakir,Metaloglobus,"LW, LCMF, LAMF",29.0,75000,,34,2241,9,5.03,Netherlands,"Netherlands, Morocco",droite,175,68,non
Mohcine Hassan,PSBS Biak Numfor,"CF, AMF",31.0,75000,,23,1749,4,8.79,Portugal,"Portugal, Morocco",droite,192,72,non
R. Akmum,Den Bosch,LCB,25.0,75000,2027-06-30,26,2218,1,1.13,Netherlands,"Netherlands, Morocco",gauche,184,75,non
S. Errahouli,Olympic Safi,"LW, LAMF, RAMF",23.0,75000,2026-06-30,36,2896,5,4.05,Morocco,Morocco,droite,0,0,non
A. Ouhafsa,Bavois,"CF, LWF, LW",28.0,75000,2026-06-30,26,2153,12,15.13,France,"France, Morocco",droite,180,0,non
H. Doughmi,Yacoub El Mansour,GK,26.0,75000,2027-06-30,10,958,0,0.0,Morocco,Morocco,droite,185,0,non
A. Drif,,"LAMF, LW, CF",33.0,50000,,12,1082,0,0.68,France,"France, Morocco",,178,70,non
B. Boukteb,RFC Seraing,"LCMF, RCMF",24.0,50000,2026-06-30,19,642,0,0.26,Belgium,"Belgium, Morocco",,183,76,non
A. Ghazoini,CSM Satu Mare,"RB, RCB",25.0,50000,2026-06-30,21,1862,1,1.35,Italy,"Italy, Morocco",droite,184,78,non
A. Lembezat,Dijon,"AMF, LCMF",27.0,50000,2026-06-30,20,1613,3,4.54,France,"France, Morocco",droite,177,64,non
B. Ouacharaf,Talavera CF,RB,24.0,50000,2026-06-30,15,775,1,0.69,Spain,"Spain, Morocco",droite,180,72,non
Y. Ejjaki,Real Normanna,"DMF, RDMF, RCMF",27.0,50000,2026-06-30,24,2161,3,2.6,Italy,"Italy, Morocco",droite,174,67,non
M. Gueddar,Biel-Bienne,"LW, LAMF, LWF",27.0,50000,2026-06-30,29,2065,6,7.08,France,"France, Morocco",droite,176,75,non
Hakim El Mokh,,"DMF, RDMF",29.0,50000,,8,633,0,0.08,Spain,"Spain, Morocco",les deux,186,76,non
M. Rabbas,Mestre,"AMF, LCMF, LW",26.0,50000,2026-06-30,17,1300,3,2.2,Morocco,Morocco,droite,178,73,non
M. Bouhamed,,"LCMF, RCMF, LAMF",26.0,25000,,9,609,0,0.33,Italy,"Italy, Morocco",,0,0,non
Y. Derbali,Fortuna Köln,"LB, LWB",23.0,25000,2027-06-30,9,439,0,0.08,Germany,"Germany, Morocco",gauche,185,0,non
O. Chajari,Altavilla,"DMF, RCMF, LCMF",26.0,25000,2026-06-30,28,2553,1,1.16,Italy,"Italy, Morocco",droite,183,0,non
A. Sanat,Campodarsego,"RAMF, RCMF, AMF",24.0,25000,2027-06-30,25,1162,2,3.57,Italy,"Italy, Morocco",gauche,175,67,non
M. Hajij,Wil,"LAMF, CF, LW",24.0,25000,2028-06-30,35,2372,4,4.89,France,"France, Morocco",droite,175,68,non
A. Essoussi,Virtus Sangiustino,CF,40.0,10000,,22,1239,3,6.0,Morocco,Morocco,droite,182,73,non
A. Mouloua,FUS Rabat,CF,23.0,10000,,22,1770,6,7.68,Morocco,Morocco,droite,0,0,non
M. Naji,,RB,34.0,0,,4,404,0,0.0,Morocco,Morocco,,170,0,non
Y. Lazaar,UT Pétange,RB,19.0,0,,5,408,0,0.0,Belgium,"Belgium, Morocco",,0,0,non
A. Malki,,LB,29.0,0,,6,556,0,0.22,Morocco,Morocco,,0,0,non
M. Khalek,Digenis Ypsonas,"RB, RWB",22.0,0,,12,831,0,0.51,Italy,"Italy, Morocco",droite,182,0,non
A. Moutawi,Khemis Zemamra,"AMF, LAMF, LCMF",24.0,0,,6,411,0,0.9,Morocco,Morocco,,0,0,non
A. Kasbaoui,Mouloudia Oujda,"LCMF, RDMF, RCMF",26.0,0,,15,1501,1,0.83,Morocco,Morocco,,0,0,non
M. Bahadi,Mouloudia Oujda,RB,24.0,0,,9,667,0,0.16,Morocco,Morocco,,0,0,non
A. Anass,Youssoufia Berrechid,"RB, RWB",27.0,0,,16,1321,4,1.9,Morocco,Morocco,,0,0,non
A. Laziz,,"RB, LCB",20.0,0,,7,407,0,0.0,Morocco,"Morocco, Italy",unknown,0,0,non
A. Ballouchy,,"AMF, RAMF, RWB",22.0,0,,11,481,0,0.29,Morocco,Morocco,,0,0,non
