player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 S. Bouhoudane, Jong PSV,Botola, ST,Morocco,,yes,Botola, 18,46,0.042,,,,,
 Ilias Bouhlal, Stockay-Warfusée,Botola, CAM,Morocco,,yes,Botola, 27,47,0.079,,,,,
 Younes Jaber, Jong Sparta,Botola, LW,Morocco,,yes,Botola, 18,46,0.075,,,,,
 A. Jolakyan, FC Bentonit,Botola, RB,Morocco,,yes,Botola, 21,46,0.005,,,,,
 Iliesse Salhi, Mallorca,Botola, LB,Morocco,,yes,Botola, 18,48,0.193,,,,,
 A. Zarrouk, Willem II,Botola, DM,Morocco,,yes,Botola, 19,49,0.218,,,,,
 Ilyas Azizi, -,Botola, LW,Morocco,,yes,Botola, 17,46,0.026,,,,,
 N. El Harmouz, Feyenoord U21,Botola, CM,Morocco,,yes,Botola, 18,49,0.044,,,,,
 N. El Jamali, Saint-Étienne,Botola, CAM,Morocco,,yes,Botola, 18,51,0.111,,,,,
 Adam Amrani, Odense BK,Botola, CB,Morocco,,yes,Botola, 17,48,0.043,,,,,
 A. Belhadj, Rupel Boom,Botola, CB,Morocco,,yes,Botola, 23,48,0.023,,,,,
 M. Boumaaoui, Bourg-Péronnas,Botola, ST,Morocco,,yes,Botola, 21,48,0.093,,,,,
 T. Hannioui, Al Jazira Al Hamra,Botola, CB,Morocco,,yes,Botola, 25,50,0.048,,,,,
 T. Pitarch, Real Madrid,Botola, CM,Morocco,,yes,Botola, 18,51,2.0,,,,,
 Soufiane Belward, Fiorentino,Botola, RW,Morocco,,yes,Botola, 21,46,0.379,,,,,
Z. El-Moutaraji, Wydad Casablanca,Botola, LW,Morocco,,yes,Botola,29,51,0.162,,,,,
 M. Hamdi, Angouleme,Botola, CB,Morocco,,yes,Botola,32,58,0.081,,,,,
 A. Lamrabat, Ittihad Tanger,Botola, LB,Morocco,,yes,Botola,32,57,0.535,,,,,
 M. Ounajem, Hassania Agadir,Botola, RW,Morocco,,yes,Botola,34,51,0.359,,,,,
 Benktib, COD Meknes,Botola, CM,Morocco,,yes,Botola,27,55,1.481,,,,,
 A. Mhamdi, Wydad Casablanca,Botola, GK,Morocco,,yes,Botola,34,54,0.399,,,,,
 M. El Fakih, Renaissance Zemamra,Botola, CAM,Morocco,,yes,Botola,36,56,0.174,,,,,
 Aymen Barkok, Raja Casablanca,Botola, CAM,Morocco,,yes,Botola,27,57,1.574,,,,,
 A. El Harrak, FUS Rabat,Botola, ST,Morocco,,yes,Botola,28,58,1.11,,,,,
 B. Gaddarine, Ittihad Tanger,Botola, LB,Morocco,,yes,Botola,28,59,1.1,,,,,
 H. Semmoumy, Olympic Safi,Botola, RB,Morocco,,yes,Botola,33,56,0.384,,,,,
 H. Khabba, FAR Rabat,Botola, ST,Morocco,,yes,Botola,29,58,0.396,,,,,
 Z. Nassik, COD Meknes,Botola, LB,Morocco,,yes,Botola,29,58,0.994,,,,,
 H. Regragui, UTS Rabat,Botola, CB,Morocco,,yes,Botola,28,52,0.923,,,,,
 H. Ahadad, Hassania Agadir,Botola, ST,Morocco,,yes,Botola,31,59,1.521,,,,,
 A. Lakred, FUS Rabat,Botola, GK,Morocco,,yes,Botola,30,58,1.194,,,,,
 Z. Fati, Yacoub El Mansour,Botola, LW,Morocco,,yes,Botola,33,53,0.536,,,,,
 S. Bahi, Renaissance Zemamra,Botola, CB,Morocco,,yes,Botola,31,50,0.436,,,,,
 Z. El Hachemi, Renaissance Zemamra,Botola, RB,Morocco,,yes,Botola,28,52,0.699,,,,,
 M. Sadil, RS Berkane,Botola, LB,Morocco,,yes,Botola,31,51,0.182,,,,,
 Reda Bounaga, COD Meknes,Botola, GK,Morocco,,yes,Botola,37,53,0.033,,,,,
 Haytham El Bahja, Ittihad Tanger,Botola, RW,Morocco,,yes,Botola,32,59,0.509,,,,,
 Zouhair Marour, Yacoub El Mansour,Botola, CB,Morocco,,yes,Botola,30,56,1.0,,,,,
 Karim L'koucha, COD Meknes,Botola, RW,Morocco,,yes,Botola,25,51,1.194,,,,,
 M. El Jourbaoui, Renaissance Zemamra,Botola, GK,Morocco,,yes,Botola,33,51,0.42,,,,,
 E. El Bellali, Ittihad Tanger,Botola, DM,Morocco,,yes,Botola,28,58,0.959,,,,,
 Y. Arbidi, Hassania Agadir,Botola, LW,Morocco,,yes,Botola,29,55,0.927,,,,,
 M. Ferni, Renaissance Zemamra,Botola, GK,Morocco,,yes,Botola,26,56,0.863,,,,,
 A. Chabani, Maghreb Fes,Botola, CB,Morocco,,yes,Botola,27,55,0.36,,,,,
 H. Moujahid, FUS Rabat,Botola, CM,Morocco,,yes,Botola,31,57,0.833,,,,,
 H. Akbi Hamiani, Olympic Safi,Botola, GK,Morocco,,yes,Botola,32,57,0.669,,,,,
 A. Madkour, Renaissance Zemamra,Botola, RB,Morocco,,yes,Botola,25,59,1.443,,,,,
 M. Chichane, Renaissance Zemamra,Botola, DM,Morocco,,yes,Botola,34,54,0.198,,,,,
 Z. Habti, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,28,53,0.815,,,,,
 M. Lahtimi, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,24,51,1.265,,,,,
 Y. Akharraz, UTS Rabat,Botola, RB,Morocco,,yes,Botola,21,53,0.797,,,,,
 A. Hmaidou, COD Meknes,Botola, DM,Morocco,,yes,Botola,26,58,1.434,,,,,
 A. El Khalej, UTS Rabat,Botola, CB,Morocco,,yes,Botola,26,55,0.5,,,,,
 Brija, Maghreb Fes,Botola, CAM,Morocco,,yes,Botola,25,54,1.184,,,,,
 S. Benyachou, FUS Rabat,Botola, RW,Morocco,,yes,Botola,26,52,0.693,,,,,
 Y. Michte, Difaâ El Jadida,Botola, DM,Morocco,,yes,Botola,27,57,0.852,,,,,
 Laaz, Ittihad Tanger,Botola, CB,Morocco,,yes,Botola,25,54,0.871,,,,,
 K. El Bounagat, COD Meknes,Botola, CB,Morocco,,yes,Botola,25,56,0.868,,,,,
 M. Bouriga, FAR Rabat,Botola, ST,Morocco,,yes,Botola,26,56,1.432,,,,,
 W. Nassi, Wydad Casablanca,Botola, RW,Morocco,,yes,Botola,25,52,0.921,,,,,
 Mouad Bahsain, Hassania Agadir,Botola, LB,Morocco,,yes,Botola,26,56,1.654,,,,,
 I. Moutaraji, FUS Rabat,Botola, CAM,Morocco,,yes,Botola,26,53,1.157,,,,,
 A. Farhane, FUS Rabat,Botola, CB,Morocco,,yes,Botola,27,57,1.037,,,,,
 M. Amri, FUS Rabat,Botola, LB,Morocco,,yes,Botola,32,52,0.568,,,,,
 O. Mahrous, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola,30,52,0.456,,,,,
 A. Kassak, Hassania Agadir,Botola, CAM,Morocco,,yes,Botola,27,53,1.275,,,,,
 K. Baba, Maghreb Fes,Botola, RW,Morocco,,yes,Botola,26,58,1.355,,,,,
 T. Razko, FAR Rabat,Botola, CM,Morocco,,yes,Botola,24,51,0.621,,,,,
 W. Rhailouf, UTS Rabat,Botola, CM,Morocco,,yes,Botola,27,60,1.558,,,,,
 A. El Ouaad, Ittihad Tanger,Botola, GK,Morocco,,yes,Botola,30,59,0.856,,,,,
 T. El Khalej, UTS Rabat,Botola, CB,Morocco,,yes,Botola,28,58,0.805,,,,,
 H. Malki, Difaâ El Jadida,Botola, LB,Morocco,,yes,Botola,29,52,0.433,,,,,
